Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Beverages,United States of America, Caturra , Medium ,1903.5, $338.00 , $455.00 ," $577,395.00 "," $51,965.55 "," $525,429.45 "," $428,922.00 "," $74,236.50 ",01/10/2021,10, October ,2021
Beverages,Belgium, Caturra , Medium ,2541, $338.00 , $26.00 ," $44,044.00 "," $3,963.96 "," $40,080.04 "," $22,022.00 "," $13,890.80 ",01/11/2021,11, November ,2021
Beverages,Switzerland, Robusta , Medium ,994.5, $3.90 , $26.00 ," $17,238.00 "," $1,551.42 "," $15,686.58 "," $8,619.00 "," $5,436.60 ",01/05/2021,5, May ,2021
Beverages,United States of America, Robusta , Medium ,1228.5, $3.90 , $9.10 ," $7,452.90 ", $670.76 ," $6,782.14 "," $5,323.50 "," $1,122.03 ",01/07/2021,7, July ,2021
Dairy Products,Switzerland, Robusta , Medium ,2370, $3.90 , $15.60 ," $24,648.00 "," $2,218.32 "," $22,429.68 "," $6,162.00 "," $12,513.60 ",01/09/2021,9, September ,2021
Beverages,Belgium, Robusta , Medium ,781.5, $3.90 , $9.10 ," $4,741.10 ", $426.70 ," $4,314.40 "," $3,386.50 ", $713.77 ,01/12/2021,12, December ,2021
Beverages,China, Blue Mountain Coffee , Medium ,1459.5, $13.00 , $26.00 ," $25,298.00 "," $2,276.82 "," $23,021.18 "," $12,649.00 "," $7,978.60 ",01/03/2021,3, March ,2021
Beverages,Belgium, Blue Mountain Coffee , Medium ,1557, $13.00 , $26.00 ," $26,988.00 "," $2,428.92 "," $24,559.08 "," $13,494.00 "," $8,511.60 ",01/06/2021,6, June ,2021
Beverages,Switzerland, Blue Mountain Coffee , Medium ,540, $13.00 , $9.10 ," $3,276.00 ", $294.84 ," $2,981.16 "," $2,340.00 ", $493.20 ,01/10/2021,10, October ,2021
Dairy Products,Japan, Bourbon , Medium ,2950.5, $156.00 , $15.60 ," $30,685.20 "," $2,761.67 "," $27,923.53 "," $7,671.30 "," $15,578.64 ",01/03/2021,3, March ,2021
Snacks,Belgium, Bourbon , Medium ,3942, $156.00 , $19.50 ," $51,246.00 "," $4,612.14 "," $46,633.86 "," $34,164.00 "," $9,592.20 ",01/04/2021,4, April ,2021
Beverages,Switzerland, Arabica , Medium ,540, $325.00 , $9.10 ," $3,276.00 ", $294.84 ," $2,981.16 "," $2,340.00 ", $493.20 ,01/10/2021,10, October ,2021
Beverages,Belgium, Arabica , Medium ,781.5, $325.00 , $9.10 ," $4,741.10 ", $426.70 ," $4,314.40 "," $3,386.50 ", $713.77 ,01/12/2021,12, December ,2021
Beverages,Belgium, Caturra , Medium ,1557, $338.00 , $26.00 ," $26,988.00 "," $2,428.92 "," $24,559.08 "," $13,494.00 "," $8,511.60 ",01/06/2021,6, June ,2021
Snacks,United States of America, Caturra , Medium ,2445.75, $338.00 , $19.50 ," $31,794.75 "," $2,861.53 "," $28,933.22 "," $21,196.50 "," $5,951.33 ",01/07/2021,7, July ,2021
Beverages,China, Typica , High ,3492, $6.50 , $9.10 ," $21,184.80 "," $2,118.48 "," $19,066.32 "," $15,132.00 "," $3,026.40 ",01/09/2021,9, September ,2021
Packaged and Prepared Foods,China, Robusta , High ,5168.25, $3.90 , $162.50 ," $559,893.75 "," $55,989.38 "," $503,904.38 "," $537,498.00 "," $(25,841.25)",01/04/2021,4, April ,2021
Beverages,China, Typica , High ,3469.5, $6.50 , $455.00 ," $1,052,415.00 "," $105,241.50 "," $947,173.50 "," $781,794.00 "," $127,215.00 ",01/05/2021,5, May ,2021
Snacks,Japan, Typica , High ,3108, $6.50 , $19.50 ," $40,404.00 "," $4,040.40 "," $36,363.60 "," $26,936.00 "," $7,252.00 ",01/12/2021,12, December ,2021
Beverages,Japan, Blue Mountain Coffee , High ,2931, $13.00 , $26.00 ," $50,804.00 "," $5,080.40 "," $45,723.60 "," $25,402.00 "," $15,632.00 ",01/03/2021,3, March ,2021
Frozen Foods,Belgium, Blue Mountain Coffee , High ,886.5, $13.00 , $390.00 ," $230,490.00 "," $23,049.00 "," $207,441.00 "," $192,075.00 "," $11,820.00 ",01/05/2021,5, May ,2021
Beverages,Switzerland, Blue Mountain Coffee , High ,361.5, $13.00 , $26.00 ," $6,266.00 ", $626.60 ," $5,639.40 "," $3,133.00 "," $1,928.00 ",01/10/2021,10, October ,2021
Snacks,Switzerland, Bourbon , High ,1021.5, $156.00 , $19.50 ," $13,279.50 "," $1,327.95 "," $11,951.55 "," $8,853.00 "," $2,383.50 ",01/01/2021,1, January ,2021
Snacks,Switzerland, Bourbon , High ,765, $156.00 , $19.50 ," $9,945.00 ", $994.50 ," $8,950.50 "," $6,630.00 "," $1,785.00 ",01/04/2021,4, April ,2021
Snacks,China, Bourbon , High ,1185, $156.00 , $19.50 ," $15,405.00 "," $1,540.50 "," $13,864.50 "," $10,270.00 "," $2,765.00 ",01/05/2021,5, May ,2021
Beverages,Japan, Bourbon , High ,958.5, $156.00 , $455.00 ," $290,745.00 "," $29,074.50 "," $261,670.50 "," $215,982.00 "," $35,145.00 ",01/07/2021,7, July ,2021
Packaged and Prepared Foods,China, Bourbon , High ,2394, $156.00 , $162.50 ," $259,350.00 "," $25,935.00 "," $233,415.00 "," $248,976.00 "," $(11,970.00)",01/09/2021,9, September ,2021
Beverages,Switzerland, Bourbon , High ,361.5, $156.00 , $26.00 ," $6,266.00 ", $626.60 ," $5,639.40 "," $3,133.00 "," $1,928.00 ",01/10/2021,10, October ,2021
Beverages,Switzerland, Bourbon , High ,3997.5, $156.00 , $9.10 ," $24,251.50 "," $2,425.15 "," $21,826.35 "," $17,322.50 "," $3,464.50 ",01/11/2021,11, November ,2021
Frozen Foods,Japan, Bourbon , High ,1279.5, $156.00 , $390.00 ," $332,670.00 "," $33,267.00 "," $299,403.00 "," $277,225.00 "," $17,060.00 ",01/12/2021,12, December ,2021
Packaged and Prepared Foods,Belgium, Arabica , High ,511.5, $325.00 , $162.50 ," $55,412.50 "," $5,541.25 "," $49,871.25 "," $53,196.00 "," $(2,557.50)",01/05/2021,5, May ,2021
Snacks,Belgium, Arabica , High ,961.5, $325.00 , $19.50 ," $12,499.50 "," $1,249.95 "," $11,249.55 "," $8,333.00 "," $2,243.50 ",01/07/2021,7, July ,2021
Beverages,China, Arabica , High ,4210.5, $325.00 , $455.00 ," $1,277,185.00 "," $127,718.50 "," $1,149,466.50 "," $948,766.00 "," $154,385.00 ",01/08/2021,8, August ,2021
Frozen Foods,Belgium, Arabica , High ,648, $325.00 , $390.00 ," $168,480.00 "," $16,848.00 "," $151,632.00 "," $140,400.00 "," $8,640.00 ",01/09/2021,9, September ,2021
Packaged and Prepared Foods,United States of America, Arabica , High ,3793.5, $325.00 , $162.50 ," $410,962.50 "," $41,096.25 "," $369,866.25 "," $394,524.00 "," $(18,967.50)",01/11/2021,11, November ,2021
Packaged and Prepared Foods,China, Caturra , High ,868.5, $338.00 , $162.50 ," $94,087.50 "," $9,408.75 "," $84,678.75 "," $90,324.00 "," $(4,342.50)",01/01/2021,1, January ,2021
Beverages,United States of America, Caturra , High ,3360, $338.00 , $455.00 ," $1,019,200.00 "," $101,920.00 "," $917,280.00 "," $757,120.00 "," $123,200.00 ",01/02/2021,2, February ,2021
Frozen Foods,China, Caturra , High ,4489.5, $338.00 , $390.00 ," $1,167,270.00 "," $116,727.00 "," $1,050,543.00 "," $972,725.00 "," $59,860.00 ",01/03/2021,3, March ,2021
Dairy Products,United States of America, Caturra , High ,5280.75, $338.00 , $15.60 ," $54,919.80 "," $5,491.98 "," $49,427.82 "," $13,729.95 "," $27,459.90 ",01/04/2021,4, April ,2021
Beverages,Belgium, Caturra , High ,3058.5, $338.00 , $26.00 ," $53,014.00 "," $5,301.40 "," $47,712.60 "," $26,507.00 "," $16,312.00 ",01/05/2021,5, May ,2021
Dairy Products,Switzerland, Caturra , High ,3861, $338.00 , $15.60 ," $40,154.40 "," $4,015.44 "," $36,138.96 "," $10,038.60 "," $20,077.20 ",01/08/2021,8, August ,2021
Beverages,United States of America, Caturra , High ,1060.5, $338.00 , $455.00 ," $321,685.00 "," $32,168.50 "," $289,516.50 "," $238,966.00 "," $38,885.00 ",01/09/2021,9, September ,2021
Snacks,Japan, Caturra , High ,3108, $338.00 , $19.50 ," $40,404.00 "," $4,040.40 "," $36,363.60 "," $26,936.00 "," $7,252.00 ",01/12/2021,12, December ,2021
Frozen Foods,Japan, Caturra , High ,1279.5, $338.00 , $390.00 ," $332,670.00 "," $33,267.00 "," $299,403.00 "," $277,225.00 "," $17,060.00 ",01/12/2021,12, December ,2021
Beverages,Japan, Blue Mountain Coffee , High ,3798, $13.00 , $9.10 ," $23,041.20 "," $2,534.53 "," $20,506.67 "," $16,458.00 "," $3,114.36 ",01/04/2021,4, April ,2021
Snacks,United States of America, Bourbon , High ,576, $156.00 , $19.50 ," $7,488.00 ", $823.68 ," $6,664.32 "," $4,992.00 "," $1,286.40 ",01/01/2021,1, January ,2021
Dairy Products,Switzerland, Bourbon , High ,708, $156.00 , $15.60 ," $7,363.20 ", $809.95 ," $6,553.25 "," $1,840.80 "," $3,624.96 ",01/10/2021,10, October ,2021
Beverages,China, Arabica , High ,2368.5, $325.00 , $9.10 ," $14,368.90 "," $1,580.58 "," $12,788.32 "," $10,263.50 "," $1,942.17 ",01/03/2021,3, March ,2021
Snacks,China, Caturra , High ,4799.25, $338.00 , $19.50 ," $62,390.25 "," $6,862.93 "," $55,527.32 "," $41,593.50 "," $10,718.33 ",01/07/2021,7, July ,2021
Dairy Products,Switzerland, Caturra , High ,708, $338.00 , $15.60 ," $7,363.20 ", $809.95 ," $6,553.25 "," $1,840.80 "," $3,624.96 ",01/10/2021,10, October ,2021
Dairy Products,United States of America, Robusta , High ,2905.5, $3.90 , $15.60 ," $30,217.20 "," $3,323.89 "," $26,893.31 "," $7,554.30 "," $14,876.16 ",01/02/2021,2, February ,2021
Beverages,Switzerland, Robusta , High ,1188, $3.90 , $455.00 ," $360,360.00 "," $39,639.60 "," $320,720.40 "," $267,696.00 "," $40,788.00 ",01/03/2021,3, March ,2021
Frozen Foods,Switzerland, Robusta , High ,4216.5, $3.90 , $390.00 ," $1,096,290.00 "," $120,591.90 "," $975,698.10 "," $913,575.00 "," $47,787.00 ",01/07/2021,7, July ,2021
Packaged and Prepared Foods,Japan, Robusta , High ,3661.5, $3.90 , $162.50 ," $396,662.50 "," $43,632.88 "," $353,029.63 "," $380,796.00 "," $(21,358.75)",01/10/2021,10, October ,2021
Beverages,Switzerland, Typica , High ,1149, $6.50 , $455.00 ," $348,530.00 "," $38,338.30 "," $310,191.70 "," $258,908.00 "," $39,449.00 ",01/01/2021,1, January ,2021
Snacks,Belgium, Typica , High ,3235.5, $6.50 , $19.50 ," $42,061.50 "," $4,626.77 "," $37,434.74 "," $28,041.00 "," $7,225.95 ",01/12/2021,12, December ,2021
Frozen Foods,United States of America, Blue Mountain Coffee , High ,1309.5, $13.00 , $390.00 ," $340,470.00 "," $37,451.70 "," $303,018.30 "," $283,725.00 "," $14,841.00 ",01/01/2021,1, January ,2021
Beverages,Belgium, Blue Mountain Coffee , High ,1683, $13.00 , $26.00 ," $29,172.00 "," $3,208.92 "," $25,963.08 "," $14,586.00 "," $8,751.60 ",01/03/2021,3, March ,2021
Beverages,United States of America, Blue Mountain Coffee , High ,3156.75, $13.00 , $455.00 ," $957,547.50 "," $105,330.23 "," $852,217.28 "," $711,321.00 "," $108,381.75 ",01/07/2021,7, July ,2021
Dairy Products,United States of America, Blue Mountain Coffee , High ,6039, $13.00 , $15.60 ," $62,805.60 "," $6,908.62 "," $55,896.98 "," $15,701.40 "," $30,919.68 ",01/07/2021,7, July ,2021
Dairy Products,Japan, Blue Mountain Coffee , High ,3638.25, $13.00 , $15.60 ," $37,837.80 "," $4,162.16 "," $33,675.64 "," $9,459.45 "," $18,627.84 ",01/07/2021,7, July ,2021
Beverages,United States of America, Blue Mountain Coffee , High ,3591, $13.00 , $26.00 ," $62,244.00 "," $6,846.84 "," $55,397.16 "," $31,122.00 "," $18,673.20 ",01/08/2021,8, August ,2021
Snacks,Belgium, Blue Mountain Coffee , High ,2976, $13.00 , $19.50 ," $38,688.00 "," $4,255.68 "," $34,432.32 "," $25,792.00 "," $6,646.40 ",01/08/2021,8, August ,2021
Packaged and Prepared Foods,Japan, Blue Mountain Coffee , High ,3661.5, $13.00 , $162.50 ," $396,662.50 "," $43,632.88 "," $353,029.63 "," $380,796.00 "," $(21,358.75)",01/10/2021,10, October ,2021
Frozen Foods,United States of America, Blue Mountain Coffee , High ,2049, $13.00 , $390.00 ," $532,740.00 "," $58,601.40 "," $474,138.60 "," $443,950.00 "," $23,222.00 ",01/11/2021,11, November ,2021
Beverages,United States of America, Bourbon , High ,2712, $156.00 , $9.10 ," $16,452.80 "," $1,809.81 "," $14,642.99 "," $11,752.00 "," $2,223.84 ",01/11/2021,11, November ,2021
Dairy Products,Japan, Arabica , High ,2601, $325.00 , $15.60 ," $27,050.40 "," $2,975.54 "," $24,074.86 "," $6,762.60 "," $13,317.12 ",01/01/2021,1, January ,2021
Packaged and Prepared Foods,Belgium, Arabica , High ,831, $325.00 , $162.50 ," $90,025.00 "," $9,902.75 "," $80,122.25 "," $86,424.00 "," $(4,847.50)",01/01/2021,1, January ,2021
Packaged and Prepared Foods,Switzerland, Caturra , High ,4747.5, $338.00 , $162.50 ," $514,312.50 "," $56,574.38 "," $457,738.13 "," $493,740.00 "," $(27,693.75)",01/01/2021,1, January ,2021
Beverages,Belgium, Caturra , High ,3943.5, $338.00 , $26.00 ," $68,354.00 "," $7,518.94 "," $60,835.06 "," $34,177.00 "," $20,506.20 ",01/01/2021,1, January ,2021
Packaged and Prepared Foods,Japan, Caturra , High ,2149.5, $338.00 , $162.50 ," $232,862.50 "," $25,614.88 "," $207,247.63 "," $223,548.00 "," $(12,538.75)",01/05/2021,5, May ,2021
Snacks,Belgium, Caturra , High ,3235.5, $338.00 , $19.50 ," $42,061.50 "," $4,626.77 "," $37,434.74 "," $28,041.00 "," $7,225.95 ",01/12/2021,12, December ,2021
Beverages,Belgium, Robusta , High ,1329, $3.90 , $455.00 ," $403,130.00 "," $48,375.60 "," $354,754.40 "," $299,468.00 "," $42,528.00 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,Belgium, Robusta , High ,3234, $3.90 , $162.50 ," $350,350.00 "," $42,042.00 "," $308,308.00 "," $336,336.00 "," $(21,560.00)",01/10/2021,10, October ,2021
Snacks,United States of America, Robusta , High ,4033.5, $3.90 , $19.50 ," $52,435.50 "," $6,292.26 "," $46,143.24 "," $34,957.00 "," $8,604.80 ",01/11/2021,11, November ,2021
Snacks,China, Typica , High ,1015.5, $6.50 , $19.50 ," $13,201.50 "," $1,584.18 "," $11,617.32 "," $8,801.00 "," $2,166.40 ",01/03/2021,3, March ,2021
Frozen Foods,Japan, Typica , High ,2659.5, $6.50 , $390.00 ," $691,470.00 "," $82,976.40 "," $608,493.60 "," $576,225.00 "," $24,822.00 ",01/04/2021,4, April ,2021
Beverages,Belgium, Typica , High ,3630, $6.50 , $9.10 ," $22,022.00 "," $2,642.64 "," $19,379.36 "," $15,730.00 "," $2,807.20 ",01/09/2021,9, September ,2021
Beverages,United States of America, Typica , High ,4101, $6.50 , $9.10 ," $24,879.40 "," $2,985.53 "," $21,893.87 "," $17,771.00 "," $3,171.44 ",01/10/2021,10, October ,2021
Frozen Foods,China, Blue Mountain Coffee , High ,5242.5, $13.00 , $390.00 ," $1,363,050.00 "," $163,566.00 "," $1,199,484.00 "," $1,135,875.00 "," $48,930.00 ",01/01/2021,1, January ,2021
Beverages,Belgium, Blue Mountain Coffee , High ,1329, $13.00 , $455.00 ," $403,130.00 "," $48,375.60 "," $354,754.40 "," $299,468.00 "," $42,528.00 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,Belgium, Blue Mountain Coffee , High ,3234, $13.00 , $162.50 ," $350,350.00 "," $42,042.00 "," $308,308.00 "," $336,336.00 "," $(21,560.00)",01/10/2021,10, October ,2021
Beverages,Belgium, Blue Mountain Coffee , High ,1357.5, $13.00 , $26.00 ," $23,530.00 "," $2,823.60 "," $20,706.40 "," $11,765.00 "," $6,878.00 ",01/10/2021,10, October ,2021
Beverages,Japan, Blue Mountain Coffee , High ,2391, $13.00 , $455.00 ," $725,270.00 "," $87,032.40 "," $638,237.60 "," $538,772.00 "," $76,512.00 ",01/11/2021,11, November ,2021
Frozen Foods,Switzerland, Blue Mountain Coffee , High ,2038.5, $13.00 , $390.00 ," $530,010.00 "," $63,601.20 "," $466,408.80 "," $441,675.00 "," $19,026.00 ",01/11/2021,11, November ,2021
Frozen Foods,Belgium, Blue Mountain Coffee , High ,3225, $13.00 , $390.00 ," $838,500.00 "," $100,620.00 "," $737,880.00 "," $698,750.00 "," $30,100.00 ",01/11/2021,11, November ,2021
Beverages,Belgium, Blue Mountain Coffee , High ,1795.5, $13.00 , $455.00 ," $544,635.00 "," $65,356.20 "," $479,278.80 "," $404,586.00 "," $57,456.00 ",01/11/2021,11, November ,2021
Beverages,Belgium, Blue Mountain Coffee , High ,1849.5, $13.00 , $26.00 ," $32,058.00 "," $3,846.96 "," $28,211.04 "," $16,029.00 "," $9,370.80 ",01/12/2021,12, December ,2021
Beverages,Belgium, Bourbon , High ,2092.5, $156.00 , $455.00 ," $634,725.00 "," $76,167.00 "," $558,558.00 "," $471,510.00 "," $66,960.00 ",01/07/2021,7, July ,2021
Beverages,China, Bourbon , High ,1479, $156.00 , $455.00 ," $448,630.00 "," $53,835.60 "," $394,794.40 "," $333,268.00 "," $47,328.00 ",01/10/2021,10, October ,2021
Beverages,Belgium, Bourbon , High ,1357.5, $156.00 , $26.00 ," $23,530.00 "," $2,823.60 "," $20,706.40 "," $11,765.00 "," $6,878.00 ",01/10/2021,10, October ,2021
Dairy Products,United States of America, Arabica , High ,3163.5, $325.00 , $15.60 ," $32,900.40 "," $3,948.05 "," $28,952.35 "," $8,225.10 "," $15,944.04 ",01/05/2021,5, May ,2021
Snacks,Japan, Arabica , High ,5811.75, $325.00 , $19.50 ," $75,552.75 "," $9,066.33 "," $66,486.42 "," $50,368.50 "," $12,398.40 ",01/07/2021,7, July ,2021
Beverages,China, Arabica , High ,1479, $325.00 , $455.00 ," $448,630.00 "," $53,835.60 "," $394,794.40 "," $333,268.00 "," $47,328.00 ",01/10/2021,10, October ,2021
Packaged and Prepared Foods,China, Arabica , High ,3580.5, $325.00 , $162.50 ," $387,887.50 "," $46,546.50 "," $341,341.00 "," $372,372.00 "," $(23,870.00)",01/11/2021,11, November ,2021
Beverages,Belgium, Arabica , High ,1849.5, $325.00 , $26.00 ," $32,058.00 "," $3,846.96 "," $28,211.04 "," $16,029.00 "," $9,370.80 ",01/12/2021,12, December ,2021
Beverages,China, Caturra , High ,405, $338.00 , $455.00 ," $122,850.00 "," $14,742.00 "," $108,108.00 "," $91,260.00 "," $12,960.00 ",01/02/2021,2, February ,2021
Beverages,Japan, Caturra , High ,5132.25, $338.00 , $9.10 ," $31,135.65 "," $3,736.28 "," $27,399.37 "," $22,239.75 "," $3,968.94 ",01/07/2021,7, July ,2021
Beverages,United States of America, Caturra , High ,4101, $338.00 , $9.10 ," $24,879.40 "," $2,985.53 "," $21,893.87 "," $17,771.00 "," $3,171.44 ",01/10/2021,10, October ,2021
Beverages,Japan, Robusta , High ,3782.25, $3.90 , $26.00 ," $65,559.00 "," $7,867.08 "," $57,691.92 "," $32,779.50 "," $19,163.40 ",01/01/2021,1, January ,2021
Dairy Products,Belgium, Typica , High ,3991.5, $6.50 , $15.60 ," $41,511.60 "," $4,981.39 "," $36,530.21 "," $10,377.90 "," $20,117.16 ",01/05/2021,5, May ,2021
Beverages,Switzerland, Blue Mountain Coffee , High ,2296.5, $13.00 , $26.00 ," $39,806.00 "," $4,776.72 "," $35,029.28 "," $19,903.00 "," $11,635.60 ",01/12/2021,12, December ,2021
Beverages,Japan, Arabica , High ,2236.5, $325.00 , $9.10 ," $13,568.10 "," $1,628.17 "," $11,939.93 "," $9,691.50 "," $1,729.56 ",01/03/2021,3, March ,2021
Beverages,Switzerland, Arabica , High ,2296.5, $325.00 , $26.00 ," $39,806.00 "," $4,776.72 "," $35,029.28 "," $19,903.00 "," $11,635.60 ",01/12/2021,12, December ,2021
Snacks,China, Robusta , High ,3850.5, $3.90 , $19.50 ," $50,056.50 "," $6,507.35 "," $43,549.16 "," $33,371.00 "," $7,829.35 ",01/06/2021,6, June ,2021
Snacks,China, Arabica , High ,3850.5, $325.00 , $19.50 ," $50,056.50 "," $6,507.35 "," $43,549.16 "," $33,371.00 "," $7,829.35 ",01/06/2021,6, June ,2021
Beverages,United States of America, Robusta , High ,1384.5, $3.90 , $455.00 ," $419,965.00 "," $54,595.45 "," $365,369.55 "," $311,974.00 "," $41,073.50 ",01/03/2021,3, March ,2021
Beverages,Japan, Robusta , High ,2685, $3.90 , $455.00 ," $814,450.00 "," $105,878.50 "," $708,571.50 "," $605,020.00 "," $79,655.00 ",01/03/2021,3, March ,2021
Beverages,China, Typica , High ,1473.75, $6.50 , $455.00 ," $447,037.50 "," $58,114.88 "," $388,922.63 "," $332,085.00 "," $43,721.25 ",01/01/2021,1, January ,2021
Beverages,China, Typica , High ,1947, $6.50 , $9.10 ," $11,811.80 "," $1,535.53 "," $10,276.27 "," $8,437.00 "," $1,414.82 ",01/02/2021,2, February ,2021
Dairy Products,Belgium, Typica , High ,906, $6.50 , $15.60 ," $9,422.40 "," $1,224.91 "," $8,197.49 "," $2,355.60 "," $4,493.76 ",01/06/2021,6, June ,2021
Beverages,Belgium, Typica , High ,3382.5, $6.50 , $26.00 ," $58,630.00 "," $7,621.90 "," $51,008.10 "," $29,315.00 "," $16,687.00 ",01/07/2021,7, July ,2021
Beverages,United States of America, Typica , High ,1873.5, $6.50 , $26.00 ," $32,474.00 "," $4,221.62 "," $28,252.38 "," $16,237.00 "," $9,242.60 ",01/10/2021,10, October ,2021
Beverages,China, Blue Mountain Coffee , High ,2157.75, $13.00 , $9.10 ," $13,090.35 "," $1,701.75 "," $11,388.60 "," $9,350.25 "," $1,567.97 ",01/01/2021,1, January ,2021
Frozen Foods,Switzerland, Blue Mountain Coffee , High ,1210.5, $13.00 , $390.00 ," $314,730.00 "," $40,914.90 "," $273,815.10 "," $262,275.00 "," $8,877.00 ",01/01/2021,1, January ,2021
Beverages,China, Blue Mountain Coffee , High ,3961.5, $13.00 , $26.00 ," $68,666.00 "," $8,926.58 "," $59,739.42 "," $34,333.00 "," $19,543.40 ",01/02/2021,2, February ,2021
Beverages,Switzerland, Blue Mountain Coffee , High ,4062, $13.00 , $26.00 ," $70,408.00 "," $9,153.04 "," $61,254.96 "," $35,204.00 "," $20,039.20 ",01/02/2021,2, February ,2021
Beverages,United States of America, Blue Mountain Coffee , High ,3948, $13.00 , $455.00 ," $1,197,560.00 "," $155,682.80 "," $1,041,877.20 "," $889,616.00 "," $117,124.00 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,United States of America, Blue Mountain Coffee , High ,2374.5, $13.00 , $162.50 ," $257,237.50 "," $33,440.88 "," $223,796.63 "," $246,948.00 "," $(17,808.75)",01/06/2021,6, June ,2021
Dairy Products,Belgium, Blue Mountain Coffee , High ,856.5, $13.00 , $15.60 ," $8,907.60 "," $1,157.99 "," $7,749.61 "," $2,226.90 "," $4,248.24 ",01/07/2021,7, July ,2021
Beverages,Japan, Blue Mountain Coffee , High ,4044, $13.00 , $9.10 ," $24,533.60 "," $3,189.37 "," $21,344.23 "," $17,524.00 "," $2,938.64 ",01/08/2021,8, August ,2021
Snacks,United States of America, Blue Mountain Coffee , High ,2347.5, $13.00 , $19.50 ," $30,517.50 "," $3,967.28 "," $26,550.23 "," $20,345.00 "," $4,773.25 ",01/10/2021,10, October ,2021
Beverages,United States of America, Blue Mountain Coffee , High ,1873.5, $13.00 , $26.00 ," $32,474.00 "," $4,221.62 "," $28,252.38 "," $16,237.00 "," $9,242.60 ",01/10/2021,10, October ,2021
Beverages,Switzerland, Blue Mountain Coffee , High ,535.5, $13.00 , $455.00 ," $162,435.00 "," $21,116.55 "," $141,318.45 "," $120,666.00 "," $15,886.50 ",01/11/2021,11, November ,2021
Dairy Products,Switzerland, Blue Mountain Coffee , High ,1519.5, $13.00 , $15.60 ," $15,802.80 "," $2,054.36 "," $13,748.44 "," $3,950.70 "," $7,536.72 ",01/12/2021,12, December ,2021
Snacks,Japan, Bourbon , High ,5996.25, $156.00 , $19.50 ," $77,951.25 "," $10,133.66 "," $67,817.59 "," $51,967.50 "," $12,192.38 ",01/01/2021,1, January ,2021
Beverages,United States of America, Bourbon , High ,3948, $156.00 , $455.00 ," $1,197,560.00 "," $155,682.80 "," $1,041,877.20 "," $889,616.00 "," $117,124.00 ",01/06/2021,6, June ,2021
Beverages,Japan, Bourbon , High ,1785, $156.00 , $9.10 ," $10,829.00 "," $1,407.77 "," $9,421.23 "," $7,735.00 "," $1,297.10 ",01/06/2021,6, June ,2021
Dairy Products,Belgium, Bourbon , High ,906, $156.00 , $15.60 ," $9,422.40 "," $1,224.91 "," $8,197.49 "," $2,355.60 "," $4,493.76 ",01/06/2021,6, June ,2021
Dairy Products,Belgium, Bourbon , High ,615, $156.00 , $15.60 ," $6,396.00 ", $831.48 ," $5,564.52 "," $1,599.00 "," $3,050.40 ",01/10/2021,10, October ,2021
Dairy Products,Switzerland, Bourbon , High ,1519.5, $156.00 , $15.60 ," $15,802.80 "," $2,054.36 "," $13,748.44 "," $3,950.70 "," $7,536.72 ",01/12/2021,12, December ,2021
Packaged and Prepared Foods,United States of America, Arabica , High ,2374.5, $325.00 , $162.50 ," $257,237.50 "," $33,440.88 "," $223,796.63 "," $246,948.00 "," $(17,808.75)",01/06/2021,6, June ,2021
Snacks,United States of America, Arabica , High ,2347.5, $325.00 , $19.50 ," $30,517.50 "," $3,967.28 "," $26,550.23 "," $20,345.00 "," $4,773.25 ",01/10/2021,10, October ,2021
Packaged and Prepared Foods,United States of America, Caturra , High ,2488.5, $338.00 , $162.50 ," $269,587.50 "," $35,046.38 "," $234,541.13 "," $258,804.00 "," $(18,663.75)",01/01/2021,1, January ,2021
Beverages,Japan, Caturra , High ,1785, $338.00 , $9.10 ," $10,829.00 "," $1,407.77 "," $9,421.23 "," $7,735.00 "," $1,297.10 ",01/06/2021,6, June ,2021
Dairy Products,Belgium, Caturra , High ,615, $338.00 , $15.60 ," $6,396.00 ", $831.48 ," $5,564.52 "," $1,599.00 "," $3,050.40 ",01/10/2021,10, October ,2021
Beverages,Belgium, Robusta , High ,3868.5, $3.90 , $26.00 ," $67,054.00 "," $9,387.56 "," $57,666.44 "," $33,527.00 "," $18,568.80 ",01/04/2021,4, April ,2021
Beverages,China, Robusta , High ,2614.5, $3.90 , $26.00 ," $45,318.00 "," $6,344.52 "," $38,973.48 "," $22,659.00 "," $12,549.60 ",01/05/2021,5, May ,2021
Beverages,Switzerland, Robusta , High ,420, $3.90 , $9.10 ," $2,548.00 ", $356.72 ," $2,191.28 "," $1,820.00 ", $285.60 ,01/12/2021,12, December ,2021
Beverages,Japan, Typica , High ,439.5, $6.50 , $9.10 ," $2,666.30 ", $373.28 ," $2,293.02 "," $1,904.50 ", $298.86 ,01/02/2021,2, February ,2021
Snacks,Switzerland, Blue Mountain Coffee , High ,417, $13.00 , $19.50 ," $5,421.00 ", $758.94 ," $4,662.06 "," $3,614.00 ", $806.20 ,01/02/2021,2, February ,2021
